content,score,at,translated_content,cleaned_content,tokenized_content,initial_token_count,stopword_removed_content,token_count,stemmed_content,ulasan_bersih,skor_lexicon,skor_lexicon_ke_score,sentimen_multiclass
Aplikasi nya jelek banget g guna percuma download apk ini untuk login aj gak bisa mending g usah di download ini apk ngabisin kuota!!,1,2025-02-26 06:08:58,Aplikasi nya jelek banget g guna percuma download apk ini untuk login aj gak bisa mending g usah di download ini apk ngabisin kuota!!,aplikasi nya jelek banget g guna percuma download apk ini untuk login aj gak bisa mending g usah di download ini apk ngabisin kuota,"['aplikasi', 'nya', 'jelek', 'banget', 'g', 'guna', 'percuma', 'download', 'apk', 'ini', 'untuk', 'login', 'aj', 'gak', 'bisa', 'mending', 'g', 'usah', 'di', 'download', 'ini', 'apk', 'ngabisin', 'kuota']",24,"['g', 'download', 'apk', 'login', 'aj', 'mending', 'g', 'download', 'apk', 'ngabisin', 'kuota']",11,"['g', 'download', 'apk', 'login', 'aj', 'mending', 'g', 'download', 'apk', 'ngabisin', 'kuota']",g download apk login aj mending g download apk ngabisin kuota,-5,1,Negatif
"cihh berbayar pula tu🙄 udah gabagus, JELEKKKKKK!!",1,2025-02-26 00:18:50,"LIHH PEMBAYAR PULAU TU 🙄 UDU HABAGUS, JELEKKKK !!",lihh pembayar pulau tu 🙄 udu habagus jelekkkk,"['lihh', 'pembayar', 'pulau', 'tu', '🙄', 'udu', 'habagus', 'jelekkkk']",8,"['lihh', 'pembayar', 'pulau', 'tu', '🙄', 'udu', 'habagus', 'jelekkkk']",8,"['lihh', 'bayar', 'pulau', 'tu', '', 'udu', 'habagus', 'jelekkkk']",lihh bayar pulau tu  udu habagus jelekkkk,-3,2,Negatif
Sangat baik dan bagus,5,2025-02-25 23:07:36,Sangat baik dan bagus,sangat baik dan bagus,"['sangat', 'baik', 'dan', 'bagus']",4,[],0,[],,0,3,Netral
Dasar aplikasi ga berguna masa harus berlangganan dulu kalau mau nonton film nya buat kalian yang mau donglot lebih baik jangan pernah di donglot nih aplikasi,1,2025-02-25 09:40:54,Dasar aplikasi ga berguna masa harus berlangganan dulu kalau mau nonton film nya buat kalian yang mau donglot lebih baik jangan pernah di donglot nih aplikasi,dasar aplikasi ga berguna masa harus berlangganan dulu kalau mau nonton film nya buat kalian yang mau donglot lebih baik jangan pernah di donglot nih aplikasi,"['dasar', 'aplikasi', 'ga', 'berguna', 'masa', 'harus', 'berlangganan', 'dulu', 'kalau', 'mau', 'nonton', 'film', 'nya', 'buat', 'kalian', 'yang', 'mau', 'donglot', 'lebih', 'baik', 'jangan', 'pernah', 'di', 'donglot', 'nih', 'aplikasi']",26,"['dasar', 'berguna', 'berlangganan', 'nonton', 'film', 'donglot', 'donglot', 'nih']",8,"['dasar', 'guna', 'langgan', 'nonton', 'film', 'donglot', 'donglot', 'nih']",dasar guna langgan nonton film donglot donglot nih,3,4,Positif
Semoga benar dan kenyataan adanya,4,2025-02-25 06:14:43,Semoga benar dan kenyataan adanya,semoga benar dan kenyataan adanya,"['semoga', 'benar', 'dan', 'kenyataan', 'adanya']",5,"['semoga', 'kenyataan']",2,"['moga', 'nyata']",moga nyata,-1,3,Netral
"Ingin berhenti berlangganan tp tdk bs dibatalkan, sdh bbrp x hubungi CS tp tdk ada respon. Mohon secepatnya diproses utk pembatalan akun saya. Terimakasih",4,2025-02-25 05:25:04,"Ingin berhenti berlangganan tp tdk bs dibatalkan, sdh bbrp x hubungi CS tp tdk ada respon. Mohon secepatnya diproses utk pembatalan akun saya. Terimakasih",ingin berhenti berlangganan tp tdk bs dibatalkan sdh bbrp x hubungi cs tp tdk ada respon mohon secepatnya diproses utk pembatalan akun saya terimakasih,"['ingin', 'berhenti', 'berlangganan', 'tp', 'tdk', 'bs', 'dibatalkan', 'sdh', 'bbrp', 'x', 'hubungi', 'cs', 'tp', 'tdk', 'ada', 'respon', 'mohon', 'secepatnya', 'diproses', 'utk', 'pembatalan', 'akun', 'saya', 'terimakasih']",24,"['berhenti', 'berlangganan', 'tp', 'tdk', 'bs', 'dibatalkan', 'sdh', 'bbrp', 'x', 'hubungi', 'cs', 'tp', 'tdk', 'respon', 'mohon', 'secepatnya', 'diproses', 'utk', 'pembatalan', 'akun', 'terimakasih']",21,"['henti', 'langgan', 'tp', 'tdk', 'bs', 'batal', 'sdh', 'bbrp', 'x', 'hubung', 'cs', 'tp', 'tdk', 'respon', 'mohon', 'cepat', 'proses', 'utk', 'batal', 'akun', 'terimakasih']",henti langgan tp tdk bs batal sdh bbrp x hubung cs tp tdk respon mohon cepat proses utk batal akun terimakasih,-12,1,Negatif
sulit buat login,3,2025-02-24 15:06:25,sulit buat login,sulit buat login,"['sulit', 'buat', 'login']",3,"['sulit', 'login']",2,"['sulit', 'login']",sulit login,0,3,Netral
Susah berhenti langganan Sudah berhenti masih ditagih sejumlah Rp. 799.000,1,2025-02-24 05:17:38,Susah berhenti langganan Sudah berhenti masih ditagih sejumlah Rp. 799.000,susah berhenti langganan sudah berhenti masih ditagih sejumlah rp,"['susah', 'berhenti', 'langganan', 'sudah', 'berhenti', 'masih', 'ditagih', 'sejumlah', 'rp']",9,"['susah', 'berhenti', 'langganan', 'berhenti', 'ditagih', 'rp']",6,"['susah', 'henti', 'langgan', 'henti', 'tagih', 'rp']",susah henti langgan henti tagih rp,-12,1,Negatif
👍🏻,4,2025-02-24 03:38:57,👍🏻,👍🏻,['👍🏻'],1,['👍🏻'],1,[''],,0,3,Netral
Bagus lah,5,2025-02-23 22:36:52,Bagus lah,bagus lah,"['bagus', 'lah']",2,[],0,[],,0,3,Netral
😟😟😟😟,1,2025-02-23 15:09:17,😟😟😟😟,😟😟😟😟,['😟😟😟😟'],1,['😟😟😟😟'],1,[''],,0,3,Netral
"Aplikasi streaming jelek, udh bayar langganan per bulan ga guna, berapa kali buffer trs, udh kdg sub title sama vidio ga selaras, gada suaranya, unduhan gabisa ditonton. Minta restart lah, ganti ke data/wifi,cek jaringan lah, jelas jelas gw cek jaringan lancar lanacr aja malah kenceng,logika nya gini ya kalau emang gw download vidio biar apa? Ya biar bisa ditonton offline, kalau harus nyalain data lagi ngapain gw download, klo gabisa diperbaikin mending gratisin aja tuh aplikasi, buang² duit aja",1,2025-02-23 13:05:14,"Aplikasi streaming jelek, udh bayar langganan per bulan ga guna, berapa kali buffer trs, udh kdg sub title sama vidio ga selaras, gada suaranya, unduhan gabisa ditonton. Minta restart lah, ganti ke data/wifi,cek jaringan lah, jelas jelas gw cek jaringan lancar lanacr aja malah kenceng,logika nya gini ya kalau emang gw download vidio biar apa? Ya biar bisa ditonton offline, kalau harus nyalain data lagi ngapain gw download, klo gabisa diperbaikin mending gratisin aja tuh aplikasi, buang² duit aja",aplikasi streaming jelek udh bayar langganan per bulan ga guna berapa kali buffer trs udh kdg sub title sama vidio ga selaras gada suaranya unduhan gabisa ditonton minta restart lah ganti ke datawificek jaringan lah jelas jelas gw cek jaringan lancar lanacr aja malah kencenglogika nya gini ya kalau emang gw download vidio biar apa ya biar bisa ditonton offline kalau harus nyalain data lagi ngapain gw download klo gabisa diperbaikin mending gratisin aja tuh aplikasi buang² duit aja,"['aplikasi', 'streaming', 'jelek', 'udh', 'bayar', 'langganan', 'per', 'bulan', 'ga', 'guna', 'berapa', 'kali', 'buffer', 'trs', 'udh', 'kdg', 'sub', 'title', 'sama', 'vidio', 'ga', 'selaras', 'gada', 'suaranya', 'unduhan', 'gabisa', 'ditonton', 'minta', 'restart', 'lah', 'ganti', 'ke', 'datawificek', 'jaringan', 'lah', 'jelas', 'jelas', 'gw', 'cek', 'jaringan', 'lancar', 'lanacr', 'aja', 'malah', 'kencenglogika', 'nya', 'gini', 'ya', 'kalau', 'emang', 'gw', 'download', 'vidio', 'biar', 'apa', 'ya', 'biar', 'bisa', 'ditonton', 'offline', 'kalau', 'harus', 'nyalain', 'data', 'lagi', 'ngapain', 'gw', 'download', 'klo', 'gabisa', 'diperbaikin', 'mending', 'gratisin', 'aja', 'tuh', 'aplikasi', 'buang²', 'duit', 'aja']",79,"['streaming', 'bayar', 'langganan', 'kali', 'buffer', 'trs', 'kdg', 'sub', 'title', 'vidio', 'selaras', 'gada', 'suaranya', 'unduhan', 'gabisa', 'ditonton', 'restart', 'ganti', 'datawificek', 'jaringan', 'gw', 'cek', 'jaringan', 'lancar', 'lanacr', 'kencenglogika', 'gini', 'emang', 'gw', 'download', 'vidio', 'biar', 'biar', 'ditonton', 'offline', 'nyalain', 'data', 'ngapain', 'gw', 'download', 'klo', 'gabisa', 'diperbaikin', 'mending', 'gratisin', 'tuh', 'buang²', 'duit']",48,"['streaming', 'bayar', 'langgan', 'kali', 'buffer', 'trs', 'kdg', 'sub', 'title', 'vidio', 'selaras', 'gada', 'suara', 'unduh', 'gabisa', 'tonton', 'restart', 'ganti', 'datawificek', 'jaring', 'gw', 'cek', 'jaring', 'lancar', 'lanacr', 'kencenglogika', 'gin', 'emang', 'gw', 'download', 'vidio', 'biar', 'biar', 'tonton', 'offline', 'nyalain', 'data', 'ngapain', 'gw', 'download', 'klo', 'gabisa', 'diperbaikin', 'mending', 'gratisin', 'tuh', 'buang', 'duit']",streaming bayar langgan kali buffer trs kdg sub title vidio selaras gada suara unduh gabisa tonton restart ganti datawificek jaring gw cek jaring lancar lanacr kencenglogika gin emang gw download vidio biar biar tonton offline nyalain data ngapain gw download klo gabisa diperbaikin mending gratisin tuh buang duit,-25,1,Negatif
gada gambar nya tpi ad suara ny udh di hps trs install lgi sma aj g ad gmbr ny knp y,1,2025-02-23 10:32:07,goa gamber ny tp soa ny Wood The HPS Stral LG,goa gamber ny tp soa ny wood the hps stral lg,"['goa', 'gamber', 'ny', 'tp', 'soa', 'ny', 'wood', 'the', 'hps', 'stral', 'lg']",11,"['goa', 'gamber', 'ny', 'tp', 'soa', 'ny', 'wood', 'the', 'hps', 'stral', 'lg']",11,"['goa', 'gamber', 'ny', 'tp', 'soa', 'ny', 'wood', 'the', 'hps', 'stral', 'lg']",goa gamber ny tp soa ny wood the hps stral lg,0,3,Netral
Cooler...,5,2025-02-23 09:11:22,Lebih keren ...,lebih keren,"['lebih', 'keren']",2,['keren'],1,['keren'],keren,0,3,Netral
"aplikasinya gimana si dodol, masa gua masuk kaga bisa daftar? padahal itu nomer udah bener, aplikasi rusak rusak",1,2025-02-23 05:32:50,"Aplikasi di mana dodol berada, ketika saya memasuki KAGA dapat mendaftar? Sedangkan nomer adalah Bene, aplikasi yang rusak",aplikasi di mana dodol berada ketika saya memasuki kaga dapat mendaftar sedangkan nomer adalah bene aplikasi yang rusak,"['aplikasi', 'di', 'mana', 'dodol', 'berada', 'ketika', 'saya', 'memasuki', 'kaga', 'dapat', 'mendaftar', 'sedangkan', 'nomer', 'adalah', 'bene', 'aplikasi', 'yang', 'rusak']",18,"['dodol', 'memasuki', 'kaga', 'mendaftar', 'nomer', 'bene', 'rusak']",7,"['dodol', 'pasuk', 'kaga', 'daftar', 'nomer', 'bene', 'rusak']",dodol pasuk kaga daftar nomer bene rusak,-10,1,Negatif
bagus tapi bayar,4,2025-02-22 12:44:16,bagus tapi bayar,bagus tapi bayar,"['bagus', 'tapi', 'bayar']",3,['bayar'],1,['bayar'],bayar,-3,2,Negatif
Aplikasi gaje,1,2025-02-22 07:43:28,Aplikasi gaje,aplikasi gaje,"['aplikasi', 'gaje']",2,['gaje'],1,['gaje'],gaje,-3,2,Negatif
Aplikasi terkutuk tidak bisa masuk sama sekali,1,2025-02-22 07:37:05,Aplikasi terkutuk tidak bisa masuk sama sekali,aplikasi terkutuk tidak bisa masuk sama sekali,"['aplikasi', 'terkutuk', 'tidak', 'bisa', 'masuk', 'sama', 'sekali']",7,"['terkutuk', 'masuk']",2,"['kutuk', 'masuk']",kutuk masuk,-8,1,Negatif
Gk bisa masuk,1,2025-02-22 07:16:06,Gk bisa masuk,gk bisa masuk,"['gk', 'bisa', 'masuk']",3,"['gk', 'masuk']",2,"['gk', 'masuk']",gk masuk,-3,2,Negatif
"Kenapa ga bisa masuk, koneksi error padahal sy tidak memakai proxy/VPN lainya, mohon bantuannya dan solusinya.",2,2025-02-21 14:33:31,"Kenapa ga bisa masuk, koneksi error padahal sy tidak memakai proxy/VPN lainya, mohon bantuannya dan solusinya.",kenapa ga bisa masuk koneksi error padahal sy tidak memakai proxyvpn lainya mohon bantuannya dan solusinya,"['kenapa', 'ga', 'bisa', 'masuk', 'koneksi', 'error', 'padahal', 'sy', 'tidak', 'memakai', 'proxyvpn', 'lainya', 'mohon', 'bantuannya', 'dan', 'solusinya']",16,"['masuk', 'koneksi', 'error', 'sy', 'memakai', 'proxyvpn', 'lainya', 'mohon', 'bantuannya', 'solusinya']",10,"['masuk', 'koneksi', 'error', 'sy', 'pakai', 'proxyvpn', 'lai', 'mohon', 'bantu', 'solusi']",masuk koneksi error sy pakai proxyvpn lai mohon bantu solusi,-15,1,Negatif
sering gangguan,5,2025-02-21 13:12:55,sering gangguan,sering gangguan,"['sering', 'gangguan']",2,['gangguan'],1,['ganggu'],ganggu,-4,1,Negatif
"susah log in nya,apk buruk",1,2025-02-21 12:01:44,"susah log in nya,apk buruk",susah log in nyaapk buruk,"['susah', 'log', 'in', 'nyaapk', 'buruk']",5,"['susah', 'log', 'in', 'nyaapk', 'buruk']",5,"['susah', 'log', 'in', 'nyaapk', 'buruk']",susah log in nyaapk buruk,-8,1,Negatif
"Ini aplikasi kenapa ya. Buat melanjutkan nonton visual nya nggak ada , tapi voice dan durasinya berjalan dengan baik. Sebelumnya baik"" saja , baru 3 hari saya instal & nonton. Apakah bug atau sengaja di batasi dari developernya.?",5,2025-02-21 09:47:09,"Ini aplikasi kenapa ya. Buat melanjutkan nonton visual nya nggak ada , tapi voice dan durasinya berjalan dengan baik. Sebelumnya baik"" saja , baru 3 hari saya instal & nonton. Apakah bug atau sengaja di batasi dari developernya.?",ini aplikasi kenapa ya buat melanjutkan nonton visual nya nggak ada tapi voice dan durasinya berjalan dengan baik sebelumnya baik saja baru hari saya instal nonton apakah bug atau sengaja di batasi dari developernya,"['ini', 'aplikasi', 'kenapa', 'ya', 'buat', 'melanjutkan', 'nonton', 'visual', 'nya', 'nggak', 'ada', 'tapi', 'voice', 'dan', 'durasinya', 'berjalan', 'dengan', 'baik', 'sebelumnya', 'baik', 'saja', 'baru', 'hari', 'saya', 'instal', 'nonton', 'apakah', 'bug', 'atau', 'sengaja', 'di', 'batasi', 'dari', 'developernya']",34,"['melanjutkan', 'nonton', 'visual', 'nggak', 'voice', 'durasinya', 'berjalan', 'instal', 'nonton', 'bug', 'sengaja', 'batasi', 'developernya']",13,"['lanjut', 'nonton', 'visual', 'nggak', 'voice', 'durasi', 'jalan', 'instal', 'nonton', 'bug', 'sengaja', 'batas', 'developer']",lanjut nonton visual nggak voice durasi jalan instal nonton bug sengaja batas developer,-13,1,Negatif
Great apk!,5,2025-02-21 07:46:00,APK Hebat!,apk hebat,"['apk', 'hebat']",2,"['apk', 'hebat']",2,"['apk', 'hebat']",apk hebat,0,3,Netral
kenapa saya tidak bisa menonton di handphone????padahal saya sudah bayar mahal,1,2025-02-21 05:22:23,kenapa saya tidak bisa menonton di handphone????padahal saya sudah bayar mahal,kenapa saya tidak bisa menonton di handphonepadahal saya sudah bayar mahal,"['kenapa', 'saya', 'tidak', 'bisa', 'menonton', 'di', 'handphonepadahal', 'saya', 'sudah', 'bayar', 'mahal']",11,"['menonton', 'handphonepadahal', 'bayar', 'mahal']",4,"['tonton', 'handphonepadahal', 'bayar', 'mahal']",tonton handphonepadahal bayar mahal,-6,1,Negatif
"Aplikasi SCAM , ga bisa Log In tapi tetap auto debit",1,2025-02-21 00:04:41,"Aplikasi SCAM , ga bisa Log In tapi tetap auto debit",aplikasi scam ga bisa log in tapi tetap auto debit,"['aplikasi', 'scam', 'ga', 'bisa', 'log', 'in', 'tapi', 'tetap', 'auto', 'debit']",10,"['scam', 'log', 'in', 'auto', 'debit']",5,"['scam', 'log', 'in', 'auto', 'debit']",scam log in auto debit,0,3,Netral
"""Terlalu banyak yang menggunakan akun anda saat ini"" ""Harap hentikan menonton di perangkat lain untuk melanjutkan video"" Padahal device lain sudah dimatikan. Dan bahkan sudah dikeluarkan dari aplikasi. Tapi masih aja muncul seperti diatas.",2,2025-02-20 17:27:50,"""Terlalu banyak yang menggunakan akun anda saat ini"" ""Harap hentikan menonton di perangkat lain untuk melanjutkan video"" Padahal device lain sudah dimatikan. Dan bahkan sudah dikeluarkan dari aplikasi. Tapi masih aja muncul seperti diatas.",terlalu banyak yang menggunakan akun anda saat ini harap hentikan menonton di perangkat lain untuk melanjutkan video padahal device lain sudah dimatikan dan bahkan sudah dikeluarkan dari aplikasi tapi masih aja muncul seperti diatas,"['terlalu', 'banyak', 'yang', 'menggunakan', 'akun', 'anda', 'saat', 'ini', 'harap', 'hentikan', 'menonton', 'di', 'perangkat', 'lain', 'untuk', 'melanjutkan', 'video', 'padahal', 'device', 'lain', 'sudah', 'dimatikan', 'dan', 'bahkan', 'sudah', 'dikeluarkan', 'dari', 'aplikasi', 'tapi', 'masih', 'aja', 'muncul', 'seperti', 'diatas']",34,"['akun', 'harap', 'hentikan', 'menonton', 'perangkat', 'melanjutkan', 'video', 'device', 'dimatikan', 'dikeluarkan', 'muncul', 'diatas']",12,"['akun', 'harap', 'henti', 'tonton', 'perangkat', 'lanjut', 'video', 'device', 'mati', 'keluar', 'muncul', 'atas']",akun harap henti tonton perangkat lanjut video device mati keluar muncul atas,-31,1,Negatif
"Aplikasi gajelas, kaptilasi, mau nonton aja dipersulit udh kek pemerintah",1,2025-02-20 15:06:17,"Aplikasi gajelas, kaptilasi, mau nonton aja dipersulit udh kek pemerintah",aplikasi gajelas kaptilasi mau nonton aja dipersulit udh kek pemerintah,"['aplikasi', 'gajelas', 'kaptilasi', 'mau', 'nonton', 'aja', 'dipersulit', 'udh', 'kek', 'pemerintah']",10,"['gajelas', 'kaptilasi', 'nonton', 'dipersulit', 'kek', 'pemerintah']",6,"['gajelas', 'kaptilasi', 'nonton', 'sulit', 'kek', 'perintah']",gajelas kaptilasi nonton sulit kek perintah,0,3,Netral
Gd film terbaru ga update!,1,2025-02-20 13:01:50,Gd film terbaru ga update!,gd film terbaru ga update,"['gd', 'film', 'terbaru', 'ga', 'update']",5,"['gd', 'film', 'terbaru', 'update']",4,"['gd', 'film', 'baru', 'update']",gd film baru update,0,3,Netral
"Untuk aplikasi di perangkat tv, sounds nya aneh terutama di voice percakapan, saat percakapan santai volume terlalu kecil membuat saya harus menaikan volume dan saat adegan menegangkan volumenya menjadi terlalu besar sehingga harus diturun kan kembali masalah sepele yang bikin gak nyaman nonton.",3,2025-02-20 12:56:26,"Untuk aplikasi di perangkat tv, sounds nya aneh terutama di voice percakapan, saat percakapan santai volume terlalu kecil membuat saya harus menaikan volume dan saat adegan menegangkan volumenya menjadi terlalu besar sehingga harus diturun kan kembali masalah sepele yang bikin gak nyaman nonton.",untuk aplikasi di perangkat tv sounds nya aneh terutama di voice percakapan saat percakapan santai volume terlalu kecil membuat saya harus menaikan volume dan saat adegan menegangkan volumenya menjadi terlalu besar sehingga harus diturun kan kembali masalah sepele yang bikin gak nyaman nonton,"['untuk', 'aplikasi', 'di', 'perangkat', 'tv', 'sounds', 'nya', 'aneh', 'terutama', 'di', 'voice', 'percakapan', 'saat', 'percakapan', 'santai', 'volume', 'terlalu', 'kecil', 'membuat', 'saya', 'harus', 'menaikan', 'volume', 'dan', 'saat', 'adegan', 'menegangkan', 'volumenya', 'menjadi', 'terlalu', 'besar', 'sehingga', 'harus', 'diturun', 'kan', 'kembali', 'masalah', 'sepele', 'yang', 'bikin', 'gak', 'nyaman', 'nonton']",43,"['perangkat', 'tv', 'sounds', 'aneh', 'voice', 'percakapan', 'percakapan', 'santai', 'volume', 'menaikan', 'volume', 'adegan', 'menegangkan', 'volumenya', 'diturun', 'sepele', 'bikin', 'nyaman', 'nonton']",19,"['perangkat', 'tv', 'sounds', 'aneh', 'voice', 'cakap', 'cakap', 'santai', 'volume', 'naik', 'volume', 'adegan', 'tegang', 'volume', 'turun', 'sepele', 'bikin', 'nyaman', 'nonton']",perangkat tv sounds aneh voice cakap cakap santai volume naik volume adegan tegang volume turun sepele bikin nyaman nonton,-12,1,Negatif
Tolong diperbaiki bug nya gak bisa masuk ke aplikasi sering force close,1,2025-02-20 08:50:58,Tolong diperbaiki bug nya gak bisa masuk ke aplikasi sering force close,tolong diperbaiki bug nya gak bisa masuk ke aplikasi sering force close,"['tolong', 'diperbaiki', 'bug', 'nya', 'gak', 'bisa', 'masuk', 'ke', 'aplikasi', 'sering', 'force', 'close']",12,"['diperbaiki', 'bug', 'masuk', 'force', 'close']",5,"['baik', 'bug', 'masuk', 'force', 'close']",baik bug masuk force close,-6,1,Negatif
Mantap semoga makin jaya,5,2025-02-20 03:42:08,Mantap semoga makin jaya,mantap semoga makin jaya,"['mantap', 'semoga', 'makin', 'jaya']",4,"['mantap', 'semoga', 'jaya']",3,"['mantap', 'moga', 'jaya']",mantap moga jaya,10,5,Positif
kurang lengkap film nya,1,2025-02-19 15:57:44,kurang lengkap film nya,kurang lengkap film nya,"['kurang', 'lengkap', 'film', 'nya']",4,"['lengkap', 'film']",2,"['lengkap', 'film']",lengkap film,-3,2,Negatif
"Apk sering banget error, blank dan gk mau beroperasi",1,2025-02-19 04:27:48,"Apk sering banget error, blank dan gk mau beroperasi",apk sering banget error blank dan gk mau beroperasi,"['apk', 'sering', 'banget', 'error', 'blank', 'dan', 'gk', 'mau', 'beroperasi']",9,"['apk', 'error', 'blank', 'gk', 'beroperasi']",5,"['apk', 'error', 'blank', 'gk', 'operasi']",apk error blank gk operasi,-4,1,Negatif
Mn videonya,1,2025-02-18 23:02:25,Mn videonya,mn videonya,"['mn', 'videonya']",2,"['mn', 'videonya']",2,"['mn', 'video']",mn video,0,3,Netral
Login aja susah 😡🤬,1,2025-02-18 22:51:13,Login aja susah 😡🤬,login aja susah 😡🤬,"['login', 'aja', 'susah', '😡🤬']",4,"['login', 'susah', '😡🤬']",3,"['login', 'susah', '']",login susah ,-3,2,Negatif
"Udah 2 hari g bisa nyambung gr2 pake wifi rumah. Pdhl biasanya lancar. Dengan note vpn dan proxy nyambung ,pdhl g sm sekali.Udah g usah lanjut lagi. G ada penanganan. Ternyata setelah cek komen juga sama.",1,2025-02-18 13:52:27,"Udah 2 hari g bisa nyambung gr2 pake wifi rumah. Pdhl biasanya lancar. Dengan note vpn dan proxy nyambung ,pdhl g sm sekali.Udah g usah lanjut lagi. G ada penanganan. Ternyata setelah cek komen juga sama.",udah hari g bisa nyambung gr pake wifi rumah pdhl biasanya lancar dengan note vpn dan proxy nyambung pdhl g sm sekaliudah g usah lanjut lagi g ada penanganan ternyata setelah cek komen juga sama,"['udah', 'hari', 'g', 'bisa', 'nyambung', 'gr', 'pake', 'wifi', 'rumah', 'pdhl', 'biasanya', 'lancar', 'dengan', 'note', 'vpn', 'dan', 'proxy', 'nyambung', 'pdhl', 'g', 'sm', 'sekaliudah', 'g', 'usah', 'lanjut', 'lagi', 'g', 'ada', 'penanganan', 'ternyata', 'setelah', 'cek', 'komen', 'juga', 'sama']",35,"['g', 'nyambung', 'gr', 'pake', 'wifi', 'rumah', 'pdhl', 'lancar', 'note', 'vpn', 'proxy', 'nyambung', 'pdhl', 'g', 'sm', 'sekaliudah', 'g', 'g', 'penanganan', 'cek', 'komen']",21,"['g', 'nyambung', 'gr', 'pake', 'wifi', 'rumah', 'pdhl', 'lancar', 'note', 'vpn', 'proxy', 'nyambung', 'pdhl', 'g', 'sm', 'sekaliudah', 'g', 'g', 'tangan', 'cek', 'komen']",g nyambung gr pake wifi rumah pdhl lancar note vpn proxy nyambung pdhl g sm sekaliudah g g tangan cek komen,-2,2,Negatif
Hapus jangan di download aplikasinya ribet,1,2025-02-18 12:37:27,Hapus jangan di download aplikasinya ribet,hapus jangan di download aplikasinya ribet,"['hapus', 'jangan', 'di', 'download', 'aplikasinya', 'ribet']",6,"['hapus', 'download', 'aplikasinya', 'ribet']",4,"['hapus', 'download', 'aplikasi', 'ribet']",hapus download aplikasi ribet,-11,1,Negatif
Sangat baik,5,2025-02-18 10:41:56,Sangat baik,sangat baik,"['sangat', 'baik']",2,[],0,[],,0,3,Netral
mau nonton tapi film tapinga bisa video tidak bergerak sama sekali,1,2025-02-18 06:56:58,mau nonton tapi film tapinga bisa video tidak bergerak sama sekali,mau nonton tapi film tapinga bisa video tidak bergerak sama sekali,"['mau', 'nonton', 'tapi', 'film', 'tapinga', 'bisa', 'video', 'tidak', 'bergerak', 'sama', 'sekali']",11,"['nonton', 'film', 'tapinga', 'video', 'bergerak']",5,"['nonton', 'film', 'tapinga', 'video', 'gerak']",nonton film tapinga video gerak,0,3,Netral
Banyak bug. langanannya mahal lagi,1,2025-02-18 05:05:09,Banyak bug. langanannya mahal lagi,banyak bug langanannya mahal lagi,"['banyak', 'bug', 'langanannya', 'mahal', 'lagi']",5,"['bug', 'langanannya', 'mahal']",3,"['bug', 'langanannya', 'mahal']",bug langanannya mahal,1,3,Netral
Bagust moerah,1,2025-02-18 04:05:42,Bagust moerah,bagust moerah,"['bagust', 'moerah']",2,"['bagust', 'moerah']",2,"['bagust', 'moerah']",bagust moerah,0,3,Netral
suara doang gx ada gambar,1,2025-02-18 02:01:40,suara doang gx ada gambar,suara doang gx ada gambar,"['suara', 'doang', 'gx', 'ada', 'gambar']",5,"['suara', 'doang', 'gx', 'gambar']",4,"['suara', 'doang', 'gx', 'gambar']",suara doang gx gambar,-5,1,Negatif
Buruk aplikasinya susah bgt mau login padahal udah berlangganan,1,2025-02-17 12:55:33,Buruk aplikasinya susah bgt mau login padahal udah berlangganan,buruk aplikasinya susah bgt mau login padahal udah berlangganan,"['buruk', 'aplikasinya', 'susah', 'bgt', 'mau', 'login', 'padahal', 'udah', 'berlangganan']",9,"['buruk', 'aplikasinya', 'susah', 'bgt', 'login', 'berlangganan']",6,"['buruk', 'aplikasi', 'susah', 'bgt', 'login', 'langgan']",buruk aplikasi susah bgt login langgan,-10,1,Negatif
"Wow, jeryen sekali aplikasi ini, kualitas nya sangat bagus, dan pemutaran video sangat lancar 🦅",1,2025-02-17 12:35:11,"Wow, jeryen sekali aplikasi ini, kualitas nya sangat bagus, dan pemutaran video sangat lancar 🦅",wow jeryen sekali aplikasi ini kualitas nya sangat bagus dan pemutaran video sangat lancar 🦅,"['wow', 'jeryen', 'sekali', 'aplikasi', 'ini', 'kualitas', 'nya', 'sangat', 'bagus', 'dan', 'pemutaran', 'video', 'sangat', 'lancar', '🦅']",15,"['wow', 'jeryen', 'kualitas', 'pemutaran', 'video', 'lancar', '🦅']",7,"['wow', 'jeryen', 'kualitas', 'putar', 'video', 'lancar', '']",wow jeryen kualitas putar video lancar ,2,4,Positif
Mantap,5,2025-02-17 10:25:25,Mantap,mantap,['mantap'],1,['mantap'],1,['mantap'],mantap,5,5,Positif
Karena bisa menonton apa saja jadi karena ada ngeback nya jadi nya kasih bintang 4 dulu tapi bagus kok,4,2025-02-17 09:52:21,Karena bisa menonton apa saja jadi karena ada ngeback nya jadi nya kasih bintang 4 dulu tapi bagus kok,karena bisa menonton apa saja jadi karena ada ngeback nya jadi nya kasih bintang dulu tapi bagus kok,"['karena', 'bisa', 'menonton', 'apa', 'saja', 'jadi', 'karena', 'ada', 'ngeback', 'nya', 'jadi', 'nya', 'kasih', 'bintang', 'dulu', 'tapi', 'bagus', 'kok']",18,"['menonton', 'ngeback', 'kasih', 'bintang']",4,"['tonton', 'ngeback', 'kasih', 'bintang']",tonton ngeback kasih bintang,-5,1,Negatif
