content,score,at,translated_content
"Gak bisa nnton apa apa TIDAK ADA KONTEN SEMUA FILMN,ANJINK",1,2022-11-20 07:27:54,"Gak bisa nnton apa apa TIDAK ADA KONTEN SEMUA FILMN,ANJINK"
Error,2,2022-11-20 07:15:56,Kesalahan
"Rusak ,tolong benerin",1,2022-11-20 07:15:53,"Rusak ,tolong benerin"
"Kenapa stelah sya bayar untuk berlangganan, mlah film nya gk ada yg bsa di putar stupun.",2,2022-11-20 07:12:09,"Kenapa stelah sya bayar untuk berlangganan, mlah film nya gk ada yg bsa di putar stupun."
Kenapa err trus pas mau putar .. kemaren aman2 aja kok,3,2022-11-20 07:07:07,Kenapa err trus pas mau putar .. kemaren aman2 aja kok
"Awalnya Disney+Hotstar itu bagus banget tapi kok sekarang suku nge lag dan gak bisa di tonton,kalau kayak gini rugi dong langganan Disney+Hotstar",1,2022-11-20 07:07:04,"Awalnya Disney+Hotstar itu bagus banget tapi kok sekarang suku nge lag dan gak bisa di tonton,kalau kayak gini rugi dong langganan Disney+Hotstar"
"Gatau kenapa akhir akhir ini sering bug, entah yang black screen, tbtb out app, agak mengganggu sih",2,2022-11-20 07:01:21,"Gatau kenapa akhir akhir ini sering bug, entah yang black screen, tbtb out app, agak mengganggu sih"
"Tolong donk ini saya mau nntn tp kok eror ya tulisan nya kami mengalami masalah saat memutar video ini, silakan coba mainkam judul lain [ERR_PB_1413] tolong diperbaiki",2,2022-11-20 06:57:59,"Tolong donk ini saya mau nntn tp kok eror ya tulisan nya kami mengalami masalah saat memutar video ini, silakan coba mainkam judul lain [ERR_PB_1413] tolong diperbaiki"
Memberi hiburan,5,2022-11-20 06:49:24,Memberi hiburan
Kok error,4,2022-11-20 06:42:30,Kok error
Err pb 1413,2,2022-11-20 06:40:29,Salah hal 1413
Untung ada support customer yang ngebantu mantap lah disney,5,2022-11-20 04:04:54,Untung ada support customer yang ngebantu mantap lah disney
"saran untuk yang mau berlangganan untuk menonton film dan tidak ingin mendapatkan kerugian JANGAN BERLANGGANAN aplikasi Disney+ Hotsar ini. layar gelap tapi ada subtitle dan suaranya, resolusi tiba-tiba jadi kabur padahal udah berlangganan yang Full HD(1080) mana harga berlangganan nya 50ribuan lebih lagi, terus koneksi jaringan tiba-tiba naik turun sendiri padahal paket data baru dibeli dan tidak ada masalah jaringan dalam menonton YouTube buka media sosial dll. Tolong segera diperbaiki!!!",1,2025-04-07 01:08:24,"saran untuk yang mau berlangganan untuk menonton film dan tidak ingin mendapatkan kerugian JANGAN BERLANGGANAN aplikasi Disney+ Hotsar ini. layar gelap tapi ada subtitle dan suaranya, resolusi tiba-tiba jadi kabur padahal udah berlangganan yang Full HD(1080) mana harga berlangganan nya 50ribuan lebih lagi, terus koneksi jaringan tiba-tiba naik turun sendiri padahal paket data baru dibeli dan tidak ada masalah jaringan dalam menonton YouTube buka media sosial dll. Tolong segera diperbaiki!!!"
kenapa gbsa pake DANA lagi??,2,2025-04-07 00:40:16,kenapa gbsa pake DANA lagi??
"sebelum nya aku ingin berterima kasih kepada pihak yang menyediakan aplikasi ini, karena film yang ada di aplikasi ini cukup banyak dan sangat seru di antara nya, aku cukup tertarik atas hal ini, tapi mohon untuk pihak penyedia aplikasi ini untuk memperbaiki masalah yang ada di dalam nya, tapi bagusnya masalah nya tidak terlalu banyak, aku hanya ingin memperbaiki masalah di mana saat aku ingin mengunduh film namun gagal itu tidak dapat di hapus atau diunduh ulang aku sangat kesal untuk hal itu:>",5,2025-04-06 18:22:58,"sebelum nya aku ingin berterima kasih kepada pihak yang menyediakan aplikasi ini, karena film yang ada di aplikasi ini cukup banyak dan sangat seru di antara nya, aku cukup tertarik atas hal ini, tapi mohon untuk pihak penyedia aplikasi ini untuk memperbaiki masalah yang ada di dalam nya, tapi bagusnya masalah nya tidak terlalu banyak, aku hanya ingin memperbaiki masalah di mana saat aku ingin mengunduh film namun gagal itu tidak dapat di hapus atau diunduh ulang aku sangat kesal untuk hal itu:>"
terlalu sering error,1,2025-04-06 15:15:14,terlalu sering error
ok,5,2025-04-06 15:08:42,Oke
tidak ada gambar saat memutar film yang ingin di tonton🙏🙏🙏,2,2025-04-06 14:34:10,tidak ada gambar saat memutar film yang ingin di tonton🙏🙏🙏
"sudah langganan tapi bari pakai beberapa hari, aplikasi tdk boaa digunakan... suara ada gambar hitam atau tdk ada.. trs loading trs ngk bisa keluar gambar segala cara dicoba tapi tidka bisa keluar gmbar",2,2025-04-06 13:59:44,"sudah langganan tapi bari pakai beberapa hari, aplikasi tdk boaa digunakan... suara ada gambar hitam atau tdk ada.. trs loading trs ngk bisa keluar gambar segala cara dicoba tapi tidka bisa keluar gmbar"
"Ga bisa login, udh masukkan nomor yg bener tpi g bisa karna kode negara ga sesuai. padahal di situ tertulis +62. Udh ku ikutin cara yg di tertulis dari aplikasi ini tpi tetap tidak bisa sedangkan aku lihat tutorial di YT rata² bisa. ini knp ya? padahal udh excited mau nonton",1,2025-04-06 12:50:18,"Ga bisa login, udh masukkan nomor yg bener tpi g bisa karna kode negara ga sesuai. padahal di situ tertulis +62. Udh ku ikutin cara yg di tertulis dari aplikasi ini tpi tetap tidak bisa sedangkan aku lihat tutorial di YT rata² bisa. ini knp ya? padahal udh excited mau nonton"
sudah diakali berkali kali tapi kalo pake wifi rumah gk bisa giliran pake kuota bisa,1,2025-04-06 09:18:53,sudah diakali berkali kali tapi kalo pake wifi rumah gk bisa giliran pake kuota bisa
aplikasi jelek.,1,2025-04-06 08:28:01,aplikasi jelek.
"bagus, layanan aplikasi film dan series yang cukup banyak pilihan.",5,2025-04-06 05:12:05,"bagus, layanan aplikasi film dan series yang cukup banyak pilihan."
Good,4,2025-04-06 04:12:49,Bagus
bagusss bisa di putar dan kualitas gambar nya baguss,5,2025-04-06 03:19:09,bagusss bisa di putar dan kualitas gambar nya baguss
"layar hitam gelap setelah update, hanya bisa lihat terjemahan substitle",1,2025-04-06 02:07:59,"layar hitam gelap setelah update, hanya bisa lihat terjemahan substitle"
"Sering sekali bermasalah, dari mulai saat streaming layar tiba-tiba hitam tetapi tetap ada suaranya, sudah pilih resolusi yang hd tetapi terkadang malah buram jelek.",2,2025-04-06 01:38:52,"Sering sekali bermasalah, dari mulai saat streaming layar tiba-tiba hitam tetapi tetap ada suaranya, sudah pilih resolusi yang hd tetapi terkadang malah buram jelek."
"aplikasi kebanyakan trouble, klo blom siap mending jangan di rilis aplikasi sampah kaya gini",1,2025-04-05 18:35:15,"aplikasi kebanyakan trouble, klo blom siap mending jangan di rilis aplikasi sampah kaya gini"
saya heran pakai nomor kok gak bisa pdhal itu nomor Happon Lo ko tetap gak bisa,1,2025-04-05 14:04:14,saya heran pakai nomor kok gak bisa pdhal itu nomor Happon Lo ko tetap gak bisa
"Cuma pakai 1 perangkat, tetapi ditulis menggunakan lebih banyak perangkat. Tolong diperbaiki.",1,2025-04-05 06:29:46,"Cuma pakai 1 perangkat, tetapi ditulis menggunakan lebih banyak perangkat. Tolong diperbaiki."
"baru beli kemarin, terus baru nyoba nonton hari ini. pas streaming padahal baru detik 10 streaming uda ngelag parah padahal uda pake wifi dan lancar. tolong dong diperbaiki.",1,2025-04-05 03:20:24,"baru beli kemarin, terus baru nyoba nonton hari ini. pas streaming padahal baru detik 10 streaming uda ngelag parah padahal uda pake wifi dan lancar. tolong dong diperbaiki."
Aplikasi cacat nii,1,2025-04-04 10:59:45,Aplikasi cacat nii
"belum juga login udah di suruh berlangganan bulanan🗿 mending kalo aplikasinya kagak lag dan apa"" ke detect internetnya, bisa masuk kaga di paksa langganan iya. kocak emang",1,2025-04-04 09:12:31,"Aku malah belum login, disuruh berlangganan bulanan 🗿 nggak apa-apa kalau aplikasinya gak lag atau bagaimana"" untuk mendeteksi internet, bisa login atau terpaksa berlangganan? Lucu banget"
Sering bermasalah layar tiba² hitam dan minta di update lgi,1,2025-04-04 09:10:44,Sering bermasalah layar tiba² hitam dan minta di update lgi
"kocak ni platform, kaga bisa stream di satu device kalau yang lain lagi streaming. kalau memang gabisa gitu, kenapa dibuat maksimal akun yang log in? padahal maunya sharing sm keluarga, malah harus gantian yang nonton.",1,2025-04-04 09:10:39,"kocak ni platform, kaga bisa stream di satu device kalau yang lain lagi streaming. kalau memang gabisa gitu, kenapa dibuat maksimal akun yang log in? padahal maunya sharing sm keluarga, malah harus gantian yang nonton."
"kenapa kok kayak ribet banget yaa, mau apa2 malah di arahin ke websitenya terus, sekelas disney lho ini",1,2025-04-04 07:56:43,"kenapa kok kayak ribet banget yaa, mau apa2 malah di arahin ke websitenya terus, sekelas disney lho ini"
gajelas mau masukin nomor telpon malah gabisa padahal jaringan bagus,1,2025-04-04 05:45:15,gajelas mau masukin nomor telpon malah gabisa padahal jaringan bagus
aplikasinya kenapa ya padahal saya udah login tapi disuruh mengelola akses akun lagi tapi lewat email bingung saya,2,2025-04-03 22:07:20,aplikasinya kenapa ya padahal saya udah login tapi disuruh mengelola akses akun lagi tapi lewat email bingung saya
apl gk bisa digunakan,1,2025-04-03 16:38:19,apl gk bisa digunakan
"yappss untuk awal langganan memang perlu sabar, dan aplikasi nya membutuhkan jaringan yang kuat. Terimakasih sudah bisa kembali menikmati film. Disney+Hotstar",5,2025-04-03 15:00:22,"yappss untuk awal langganan memang perlu sabar, dan aplikasi nya membutuhkan jaringan yang kuat. Terimakasih sudah bisa kembali menikmati film. Disney+Hotstar"
"baru beberapa hari langganan kok aplikasinya bermasalah, mulai dari resolusi yang pilih hd kok tetep aja kurang dan burem padahal jaringannya cukup bagus, dan aku nonton hasil download kok lama dan tulisannya error, agak menyesal sih langganan, tolong di perbaiki dong :(",1,2025-04-03 14:46:58,"baru beberapa hari langganan kok aplikasinya bermasalah, mulai dari resolusi yang pilih hd kok tetep aja kurang dan burem padahal jaringannya cukup bagus, dan aku nonton hasil download kok lama dan tulisannya error, agak menyesal sih langganan, tolong di perbaiki dong :("
gk bisa di putar padahal sudah di donload... yg ada cm layar hitam...rating bintang pun sudah banyak nih... 0 bintang ini mah,1,2025-04-03 12:43:02,gk bisa di putar padahal sudah di donload... yg ada cm layar hitam...rating bintang pun sudah banyak nih... 0 bintang ini mah
tidak bisa daftar kan nomor telepon,5,2025-04-03 12:41:13,tidak bisa daftar kan nomor telepon
Ga ikhlas sumpah. bakal gw tagih di akhirat. bayar mahal2 aplikasinya error terus ga bisa nonton.,1,2025-04-03 11:21:41,Ga ikhlas sumpah. bakal gw tagih di akhirat. bayar mahal2 aplikasinya error terus ga bisa nonton.
Banyak bugnya 😢,1,2025-04-03 09:39:52,Banyak bugnya 😢
Jelek banget aplikasinya,1,2025-04-03 07:56:15,Jelek banget aplikasinya
Disney hotstar sangat terbaik😍🥰,5,2025-04-03 07:18:01,Disney hotstar sangat terbaik😍🥰
"aplikasi ini sering bermasalah dari pas nonton sering lag sendiri, dan tiba tiba terjadi perpanjangan otomatis tanpa pemberitahuan dan tidak bisa pembatan langganan, udh aplikasi jekel langganan sendiri lagi, cihh ambil keuntungan",1,2025-04-02 21:14:22,"aplikasi ini sering bermasalah dari pas nonton sering lag sendiri, dan tiba tiba terjadi perpanjangan otomatis tanpa pemberitahuan dan tidak bisa pembatan langganan, udh aplikasi jekel langganan sendiri lagi, cihh ambil keuntungan"
"Kenapa aplikasinya punya bug parah gini sih? tiba"" langsung bikin HP mati. bahaya bener",1,2025-04-02 09:52:37,"Kenapa aplikasinya punya bug parah gini sih? tiba"" langsung bikin HP mati. bahaya bener"
"Berlangganan yg 120k itu bener bener worth to buy,tapi kalau di tv kadang kadang load di awal,but its okay, ini cukup memuaskan",4,2025-04-02 09:51:39,"Berlangganan yg 120k itu bener bener worth to buy,tapi kalau di tv kadang kadang load di awal,but its okay, ini cukup memuaskan"
"aplikasi rusak gak jelas, bayar mahal"" pas di tonton item semua, nyesel banget download,,,, baru 5 hari make udah error,,,, jangan download, syang duit dasar apk rusak",1,2025-04-02 05:38:08,"aplikasi rusak gak jelas, bayar mahal"" pas di tonton item semua, nyesel banget download,,,, baru 5 hari make udah error,,,, jangan download, syang duit dasar apk rusak"
"mahal, bagusan dan lengkapan netflix dari segi film and series, sorry disney",1,2025-04-02 03:51:08,"mahal, bagusan dan lengkapan netflix dari segi film and series, sorry disney"
karna banyak Film😍,5,2025-04-02 01:26:25,karna banyak Film😍
login susah dipakek susah cuman masalah langganan lebih gesit nih aplikasi,1,2025-04-01 23:08:00,login susah dipakek susah cuman masalah langganan lebih gesit nih aplikasi
love it,5,2025-04-01 19:01:03,suka sekali
kenapa costum subtitle tidak ada? di hp saya terlalu di atas banget.. payah bagus Netflix,1,2025-04-01 13:01:50,kenapa costum subtitle tidak ada? di hp saya terlalu di atas banget.. payah bagus Netflix
Filmnya sedikit dan tidak update..,1,2025-04-01 07:22:12,Filmnya sedikit dan tidak update..
"knp srg keluar2,sih",1,2025-04-01 04:45:58,"knp srg keluar2,sih"
Aplikasi nya loading terus lama,1,2025-03-31 20:58:45,Aplikasi membutuhkan waktu lama untuk dimuat
tiba tiba cek out sendiri gimana ini disney,2,2025-03-31 16:30:57,tiba tiba cek out sendiri gimana ini disney
woy jangan aku sisi tokrev biarkan apk lain tayangkan,2,2025-03-31 15:55:00,woy jangan aku sisi tokrev biarkan apk lain tayangkan
"saldo gw balikin, udh tak batalin ttp aja berlangganan bulan depan",1,2025-03-31 11:36:59,"saldo gw balikin, udh tak batalin ttp aja berlangganan bulan depan"
tidak maksimal,1,2025-03-31 06:54:21,tidak maksimal
layarnya hitam ketika streaming,3,2025-03-31 05:02:45,layarnya hitam ketika streaming
afk burik pokonya,1,2025-03-31 03:12:49,afk burik pokonya
👍🏻👍🏻👍🏻👍🏻😁😊,5,2025-03-30 18:23:38,👍🏻👍🏻👍🏻👍🏻😁😊
mid,1,2025-03-30 17:09:53,pertengahan
KOK GAADA SPIDERMAN,1,2025-03-30 10:28:25,KOK GAADA SPIDERMAN
pengen download tapiiiii ulasaanya jelek semuaa aowkaowkakwoskw,3,2025-03-30 05:12:34,pengen download tapiiiii ulasaanya jelek semuaa aowkaowkakwoskw
"sudah beberapa hari ini aplikasi eror, tiba2 layar hitam dan cuma ada suara doang. play di tv tiba2 buffering lama padahal jaringan wifi aman2 aja... agak nyesel langganan aplikasi nya",1,2025-03-30 04:39:13,"sudah beberapa hari ini aplikasi eror, tiba2 layar hitam dan cuma ada suara doang. play di tv tiba2 buffering lama padahal jaringan wifi aman2 aja... agak nyesel langganan aplikasi nya"
waduhh baru juga berlangganan 3 hari masa mau nonton film yang lain gak bisa malah black screen pantes ratingnya jelek,1,2025-03-29 13:37:24,waduhh baru juga berlangganan 3 hari masa mau nonton film yang lain gak bisa malah black screen pantes ratingnya jelek
tolong kebalikan uang saya dana 65.000 tidak sengaja kepencet fitur langganan tolong kebalikan uang saya sangat membutuh kan nya,5,2025-03-29 11:03:40,tolong kebalikan uang saya dana 65.000 tidak sengaja kepencet fitur langganan tolong kebalikan uang saya sangat membutuh kan nya
kenapa layarnya hitam?padahl subtitle dan time masih jalan.,1,2025-03-29 09:41:02,kenapa layarnya hitam?padahl subtitle dan time masih jalan.
"jelek banget. suara ada tp gambarnya gak ada. udah bayar mahal², zonk.",1,2025-03-29 09:29:21,"jelek banget. suara ada tp gambarnya gak ada. udah bayar mahal², zonk."
"sudah bayar paket berlangganan padahal cuma pake di hp dan laptop tapi nggak bisa, muncul notif terlalu banyak perangkat",1,2025-03-29 05:33:41,"sudah bayar paket berlangganan padahal cuma pake di hp dan laptop tapi nggak bisa, muncul notif terlalu banyak perangkat"
saya uninstal,1,2025-03-29 04:39:15,saya uninstal
"mahal mahal bayar, Ndak bisa dibuka, pakai proxy pakai vpn lah, balikin uangnya, padahal bayar langsung 1 tahun",1,2025-03-29 04:25:49,"mahal mahal bayar, Ndak bisa dibuka, pakai proxy pakai vpn lah, balikin uangnya, padahal bayar langsung 1 tahun"
parahhhhhh...tiba2 visual cuma hitam...report lewat aplikasi juga gak ada respon,1,2025-03-29 02:42:09,parahhhhhh...tiba2 visual cuma hitam...report lewat aplikasi juga gak ada respon
👍👍👍👍👍,5,2025-03-28 23:17:41,👍👍👍👍👍
"Trauma banget Langganan disini wkwkw banyak banget masalah nya dari Gak bisa login, eror, dan masih banyak lagi, kalau tau kayak gini mending langganan aplikasi sebelah. Sekelas Disney padahal hahaha , gak mampu bersaing. Ranting aja rendah daripada aplikasi sebelah,saran saya aja mending balik ke TV aja lagi jangan bikin aplikasi kalau gak mampu bersaing.",1,2025-03-28 04:13:32,"Trauma banget Langganan disini wkwkw banyak banget masalah nya dari Gak bisa login, eror, dan masih banyak lagi, kalau tau kayak gini mending langganan aplikasi sebelah. Sekelas Disney padahal hahaha , gak mampu bersaing. Ranting aja rendah daripada aplikasi sebelah,saran saya aja mending balik ke TV aja lagi jangan bikin aplikasi kalau gak mampu bersaing."
udah boros download aplikasi malah udah rusak padhl baru download. aplikasi GG,1,2025-03-28 03:24:41,udah boros download aplikasi malah udah rusak padhl baru download. aplikasi GG
gak seru pakek bayar,1,2025-03-27 23:22:04,gak seru pakek bayar
ini gatau ya udah tak setel ga nyalahin vpn / proxy/ layanan pembuka blokir tetep gabisa masuk. ini gimana solusinya,3,2025-03-27 21:09:37,ini gatau ya udah tak setel ga nyalahin vpn / proxy/ layanan pembuka blokir tetep gabisa masuk. ini gimana solusinya
"ini aplikasi kenapa sih jelek banget ah, masa AQ udah nggak berlangganan tapi kok otomatis bayar sendiri",1,2025-03-27 16:23:21,"ini aplikasi kenapa sih jelek banget ah, masa AQ udah nggak berlangganan tapi kok otomatis bayar sendiri"
"Mau nonton ga bisa di play, layar hitam. Direfund aja dana saya, percuma langganan.",1,2025-03-27 07:28:33,"Mau nonton ga bisa di play, layar hitam. Direfund aja dana saya, percuma langganan."
film nya jelek jelek,1,2025-03-27 02:26:08,film nya jelek jelek
bagus si banyak kartun nya tapi saya kasi masuk no saya tapi malah eror gak mau terus,4,2025-03-27 01:35:54,bagus si banyak kartun nya tapi saya kasi masuk no saya tapi malah eror gak mau terus
ni Disney kebelet umroh apa gimana mahal bet dah murahan dikit ke ya kan kasian yg pen nonton tapi harus bayar kek apaan bet si,1,2025-03-26 14:29:51,"Disney tergila-gila umroh, mahal tapi agak murah kan? Kasihan orang yang nonton tapi harus bayar, apa-apaan ini?"
"Jelek banget...., merugikan",1,2025-03-26 13:08:53,"Jelek banget...., merugikan"
"langganan makin mahal, masa kalo mau nonton cuma suara doank ama teks yang muncul. gambar sama sekali tidak muncul dan sudah mencoba relog berkali kali tetap sama. gimana donk rugi ini",1,2025-03-26 12:37:28,"langganan makin mahal, masa kalo mau nonton cuma suara doank ama teks yang muncul. gambar sama sekali tidak muncul dan sudah mencoba relog berkali kali tetap sama. gimana donk rugi ini"
mantap,5,2025-03-25 13:59:32,mantap
saya tidak bisa login,1,2025-03-24 14:11:16,saya tidak bisa login
Good Jobs...👍👌,5,2025-03-24 14:07:08,Kerja bagus...👍👌
"apa si uda harga nya makin mahal aplikasi nya malah makin jelek lemot banget apknya ga bisa masuk sama sekali orang uda apa coba di pindahin ke TV malah "" terlalu banyak orang yg mengunakan akun anda saat ini"" orang ga ada yg gunain, nyesel gua nangganan lagi",1,2025-03-24 11:01:43,"apa si uda harga nya makin mahal aplikasi nya malah makin jelek lemot banget apknya ga bisa masuk sama sekali orang uda apa coba di pindahin ke TV malah "" terlalu banyak orang yg mengunakan akun anda saat ini"" orang ga ada yg gunain, nyesel gua nangganan lagi"
Mahal untuk berlangganan,1,2025-03-24 11:00:58,Mahal untuk berlangganan
Bagus,4,2025-03-24 09:49:55,Bagus
ini kenapa ya muncul audio nya doang visual nya gk ada,2,2025-03-24 07:45:25,ini kenapa ya muncul audio nya doang visual nya gk ada
jelek,1,2025-03-24 01:57:06,jelek
"aplikasinya bikin pusing. awalnya udah login, terus tiba-tiba keluar. login kembali. mau berlangganan, tidak bisa-bisa, tiba-tiba dibilang udah berlangganan dan terpotong di gopay. tapiiiii ini enggak bisa nonton juga. gimana? mengecewakan.😡😡😡",1,2025-03-23 16:41:48,"aplikasinya bikin pusing. awalnya udah login, terus tiba-tiba keluar. login kembali. mau berlangganan, tidak bisa-bisa, tiba-tiba dibilang udah berlangganan dan terpotong di gopay. tapiiiii ini enggak bisa nonton juga. gimana? mengecewakan.😡😡😡"
𝗮𝗸𝘂 𝘀𝘂𝗸𝗮 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝗳𝗹𝗺 𝗺𝗼𝘃𝗶𝗲 ini,5,2025-03-23 09:09:25,𝗮𝗸𝘂 𝘀𝘂𝗸𝗮 𝗮𝗽𝗹𝗶𝗸𝗮𝘀𝗶 𝗳𝗹𝗺 𝗺𝗼𝘃𝗶𝗲 ini
"saya instal cuma mau kasih bintang 1 aja, setelah itu saya uninstal lagi😝😝😝",1,2025-03-23 01:15:29,"saya instal cuma mau kasih bintang 1 aja, setelah itu saya uninstal lagi😝😝😝"
"kenapa uang dana saya di ambil sendiri oleh hotstar? padahal saya tidak mengizinkan aplikasi ini untuk Langung mengambil uang saya? 65k loh ini di ambil, bisa bisa saya laporin ini di pihak tertentu tentang aplikasi ini menguras uang tanpa seizin nya",1,2025-03-22 21:18:08,"kenapa uang dana saya di ambil sendiri oleh hotstar? padahal saya tidak mengizinkan aplikasi ini untuk Langung mengambil uang saya? 65k loh ini di ambil, bisa bisa saya laporin ini di pihak tertentu tentang aplikasi ini menguras uang tanpa seizin nya"
"oke, drakor nya bagus2",5,2025-03-22 21:10:03,"oke, drakor nya bagus2"
"cmn pgn berlangganan 1 bulan, tp belum selesai 1 bulan udh nyedot saldo spay tanpa konfirmasi apa2 tau2 uang saldo berkurang, tolong dong lain kali jangan buat transaksi otomatis apalagi ini belum tanggal tagihan nya juga masa udh harus kesedot uang nya?",1,2025-03-22 18:22:28,"cmn pgn berlangganan 1 bulan, tp belum selesai 1 bulan udh nyedot saldo spay tanpa konfirmasi apa2 tau2 uang saldo berkurang, tolong dong lain kali jangan buat transaksi otomatis apalagi ini belum tanggal tagihan nya juga masa udh harus kesedot uang nya?"
"Maaf saya stop dl langganan ""sampai waktu tidak ditentukan"" ksr",1,2025-03-22 14:21:58,"Maaf saya stop dl langganan ""sampai waktu tidak ditentukan"" ksr"
ajir aplikasi apaini ga jelas,1,2025-03-22 08:37:01,ajir aplikasi apaini ga jelas
pas daftar eror mulu pdhl jringn udh bagus,1,2025-03-22 07:24:14,pas daftar eror mulu pdhl jringn udh bagus
pas kita mau mengetik nomor telepon su kirim tetapi kodenya tidak terkirim ke hp saya,2,2025-03-22 06:31:16,pas kita mau mengetik nomor telepon su kirim tetapi kodenya tidak terkirim ke hp saya
setelah pembayaran tahunan di debet kok malah ndak bisa di buka aplikasinya.....padahal udah terbayar. gimna caranya?,1,2025-03-22 06:26:24,setelah pembayaran tahunan di debet kok malah ndak bisa di buka aplikasinya.....padahal udah terbayar. gimna caranya?
"ini gimana si padahal udah berlangganan,wifi jaringan bagus pas muter vidio malah ngelag,padahal wifi bagus² aja diperbaiki lah tolong buang² uang bikin rugi",1,2025-03-22 05:45:46,"ini gimana si padahal udah berlangganan,wifi jaringan bagus pas muter vidio malah ngelag,padahal wifi bagus² aja diperbaiki lah tolong buang² uang bikin rugi"
kenapa ada suara tapi tidak ada gambar?,1,2025-03-21 22:00:50,kenapa ada suara tapi tidak ada gambar?
"buruk ,selalu loading saat memutar vidio padahal saya pengguna premium . sangat tidak memuaskan",1,2025-03-21 20:38:51,"buruk ,selalu loading saat memutar vidio padahal saya pengguna premium . sangat tidak memuaskan"
aplikasi babi,1,2025-03-21 19:36:49,aplikasi babi
"apk kikir, setiap bulan makin mahal, mana ngelag pula, subs belum 1 bulan tapi udah expired, gjls",1,2025-03-21 17:04:02,"apk kikir, setiap bulan makin mahal, mana ngelag pula, subs belum 1 bulan tapi udah expired, gjls"
g jelas g dapet kode verifikasi,1,2025-03-21 13:46:07,g jelas g dapet kode verifikasi
diikitdikit berlangganan👎,1,2025-03-21 13:12:42,diikitdikit berlangganan👎
infooo frozen 3 minn 🔥🔥🔥,4,2025-03-21 11:13:04,infooo beku 3 menit 🔥🔥🔥
jelek. tidak ada yang pakai dibilang terlalu banyak orang yg memakai akun ini...busuk,1,2025-03-21 10:35:01,jelek. tidak ada yang pakai dibilang terlalu banyak orang yg memakai akun ini...busuk
"sialann, sudah di download trus buka aplikasi ny, trus pilih flim mau di putar eeehh tau tau nya sruh beli bulanan, ksmprett",1,2025-03-21 08:41:59,"sialann, sudah di download trus buka aplikasi ny, trus pilih flim mau di putar eeehh tau tau nya sruh beli bulanan, ksmprett"
"ngak bisa login, sudah saya daftar pakek nomor, tapi tetap ngak bisaa, knp ya?",1,2025-03-21 06:57:16,"ngak bisa login, sudah saya daftar pakek nomor, tapi tetap ngak bisaa, knp ya?"
"Menyedihkan, tambah parah",1,2025-03-21 05:36:03,"Menyedihkan, tambah parah"
Napa sihh?? gak bisa nonton harus di bayar? gak ada yang gratis kah? nonton kartun favorit aja gak bisa!!,1,2025-03-21 01:50:18,Napa sihh?? gak bisa nonton harus di bayar? gak ada yang gratis kah? nonton kartun favorit aja gak bisa!!
"film2nya kurang bagus, banyak trouble di dalam aplikasinya, mau berhenti berlangganan di persulit",1,2025-03-20 17:10:04,"film2nya kurang bagus, banyak trouble di dalam aplikasinya, mau berhenti berlangganan di persulit"
saya tidak bisa login pake kartu Telkomsel,1,2025-03-20 16:33:39,saya tidak bisa login pake kartu Telkomsel
"apaan coba nonton film yang di nonton suara dan subtitle nya saja,tidak ada gambar nya, malahan black screen",1,2025-03-20 11:51:25,"apaan coba nonton film yang di nonton suara dan subtitle nya saja,tidak ada gambar nya, malahan black screen"
susah daftar,1,2025-03-20 08:18:04,susah daftar
harga langganannya di tingkatkan tapi pas nonton gambarnya sering putus-putus,1,2025-03-20 07:33:17,harga langganannya di tingkatkan tapi pas nonton gambarnya sering putus-putus
"baru beberapa jam langganan,eh mau nton ad tulisan langganan dijeda. udh bayar 65 ribu loh ini",1,2025-03-19 18:01:59,"baru beberapa jam langganan,eh mau nton ad tulisan langganan dijeda. udh bayar 65 ribu loh ini"
Ngga bisa masuk aplikasi padahal Udah re download teros 😤,5,2025-03-19 12:04:49,Ngga bisa masuk aplikasi padahal Udah re download teros 😤
cara berhenti salah satu langganan Disney+,2,2025-03-19 08:08:44,cara berhenti salah satu langganan Disney+
mantul,5,2025-03-19 05:34:49,mantul
Alhamdulillah Selalu semangat bg ❤️👍,5,2025-03-19 04:37:44,Alhamdulillah Selalu semangat bg ❤️👍
this app is very bad,1,2025-03-19 04:12:45,aplikasi ini sangat buruk
"Di TV bisa, HP Sam***g bisa. Ini di HP Infi*** nga bisa ditonton, layar hitam. Cuman keluar suaranya doang. Ini yg jawab komplain, AI apa Manusia ya. Sama semua jawaban komplain",3,2025-03-19 01:08:03,"Di TV bisa, HP Sam***g bisa. Ini di HP Infi*** nga bisa ditonton, layar hitam. Cuman keluar suaranya doang. Ini yg jawab komplain, AI apa Manusia ya. Sama semua jawaban komplain"
makin jelek aja nih aplikasi,1,2025-03-18 06:59:04,makin jelek aja nih aplikasi
bagus banget... banyak film yang bagus,5,2025-03-18 05:37:23,bagus banget... banyak film yang bagus
apps tai,1,2025-03-17 21:56:49,aplikasi itu
"Kendala karena pakai vpn atau proxy come on ?, alasan macam apa itu",1,2025-03-17 11:35:47,"Kendala karena pakai vpn atau proxy come on ?, alasan macam apa itu"
Gambarnya mana??,1,2025-03-17 01:05:16,Gambarnya mana??
